criterion_id,level,title,description
1.1.1,A,Non-text Content,"All non-text content that is presented to the user has a text alternative that serves the equivalent purpose, except for specific situations."
1.2.1,A,Audio-only and Video-only (Prerecorded),"For prerecorded audio-only and prerecorded video-only media, alternatives are provided."
1.2.2,A,Captions (Prerecorded),Captions are provided for all prerecorded audio content in synchronized media.
1.2.3,A,Audio Description or Media Alternative (Prerecorded),"An alternative for time-based media or audio description of the prerecorded video content is provided for synchronized media."
1.2.4,AA,Captions (Live),Captions are provided for all live audio content in synchronized media.
1.2.5,AA,Audio Description (Prerecorded),Audio description is provided for all prerecorded video content in synchronized media.
1.2.6,AAA,Sign Language (Prerecorded),Sign language interpretation is provided for all prerecorded audio content in synchronized media.
1.2.7,AAA,Extended Audio Description (Prerecorded),"Where pauses in foreground audio are insufficient to allow audio descriptions to convey the sense of the video, extended audio description is provided."
1.2.8,AAA,Media Alternative (Prerecorded),An alternative for time-based media is provided for all prerecorded synchronized media and for all prerecorded video-only media.
1.2.9,AAA,Audio-only (Live),An alternative for time-based media that presents equivalent information for live audio-only content is provided.
1.3.1,A,Info and Relationships,"Information, structure, and relationships conveyed through presentation can be programmatically determined or are available in text."
1.3.2,A,Meaningful Sequence,"If the sequence in which content is presented affects its meaning, a correct reading sequence can be programmatically determined."
1.3.3,A,Sensory Characteristics,"Instructions provided for understanding and operating content do not rely solely on sensory characteristics of components such as shape, color, size, visual location, orientation, or sound."
1.3.4,AA,Orientation,"Content does not restrict its view and operation to a single display orientation, such as portrait or landscape."
1.3.5,AA,Identify Input Purpose,"The purpose of each input field collecting information about the user can be programmatically determined when the input field serves a purpose identified in the Input Purposes for User Interface Components."
1.3.6,AAA,Identify Purpose,"In content implemented using markup languages, the purpose of User Interface Components, icons, and regions can be programmatically determined."
1.4.1,A,Use of Color,Color is not used as the only visual means of conveying information or indicating an action or prompting a response.
1.4.2,A,Audio Control,"If any audio on a Web page plays automatically for more than 3 seconds, either a mechanism is available to pause or stop the audio, or a mechanism is available to control audio volume."
1.4.3,AA,Contrast (Minimum),"The visual presentation of text and images of text has a contrast ratio of at least 4.5:1, except for large text, incidental, or logotypes."
1.4.4,AA,Resize Text,"Except for captions and images of text, text can be resized without assistive technology up to 200 percent without loss of content or functionality."
1.4.5,AA,Images of Text,"If the technologies being used can achieve the visual presentation, text is used to convey information rather than images of text."
1.4.6,AAA,Contrast (Enhanced),"The visual presentation of text and images of text has a contrast ratio of at least 7:1, except for large text, incidental, or logotypes."
1.4.7,AAA,Low or No Background Audio,"For prerecorded audio-only content that contains primarily speech in the foreground, is not an audio CAPTCHA or audio logo, and is not vocalization intended to be primarily musical expression, at least one of the following is true."
1.4.8,AAA,Visual Presentation,"For the visual presentation of blocks of text, a mechanism is available to achieve specified display characteristics."
1.4.9,AAA,Images of Text (No Exception),Images of text are only used for pure decoration or where a particular presentation of text is essential to the information being conveyed.
1.4.10,AA,Reflow,"Content can be presented without loss of information or functionality, and without requiring scrolling in two dimensions."
1.4.11,AA,Non-text Contrast,"The visual presentation of user interface components and graphical objects has a contrast ratio of at least 3:1 against adjacent color(s)."
1.4.12,AA,Text Spacing,"No loss of content or functionality occurs by setting specified text spacing properties."
1.4.13,AA,Content on Hover or Focus,"Where receiving and then removing pointer hover or keyboard focus triggers additional content to become visible and then hidden, certain conditions must be met."
2.1.1,A,Keyboard,All functionality of the content is operable through a keyboard interface without requiring specific timings for individual keystrokes.
2.1.2,A,No Keyboard Trap,"If keyboard focus can be moved to a component of the page using a keyboard interface, then focus can be moved away from that component using only a keyboard interface."
2.1.3,AAA,Keyboard (No Exception),All functionality of the content is operable through a keyboard interface without requiring specific timings for individual keystrokes.
2.1.4,A,Character Key Shortcuts,"If a keyboard shortcut is implemented in content using only letter, punctuation, number, or symbol characters, then a mechanism is available to turn off or remap the shortcut."
2.2.1,A,Timing Adjustable,"For each time limit that is set by the content, at least one of several conditions must be true."
2.2.2,A,Pause Stop Hide,"For moving, blinking, scrolling, or auto-updating information, certain conditions must be met."
2.2.3,AAA,No Timing,Timing is not an essential part of the event or activity presented by the content.
2.2.4,AAA,Interruptions,Interruptions can be postponed or suppressed by the user.
2.2.5,AAA,Re-authenticating,"When an authenticated session expires, the user can continue the activity without loss of data after re-authenticating."
2.2.6,AAA,Timeouts,Users are warned of the duration of any user inactivity that could cause data loss.
2.3.1,A,Three Flashes or Below Threshold,Web pages do not contain anything that flashes more than three times in any one second period.
2.3.2,AAA,Three Flashes,Web pages do not contain anything that flashes more than three times in any one second period.
2.3.3,AAA,Animation from Interactions,Motion animation triggered from interaction can be disabled.
2.4.1,A,Bypass Blocks,A mechanism is available to bypass blocks of content that are repeated on multiple Web pages.
2.4.2,A,Page Titled,Web pages have titles that describe topic or purpose.
2.4.3,A,Focus Order,"If a Web page can be navigated sequentially and the navigation sequences affect meaning or operation, focusable components receive focus in an order that preserves meaning and operation."
2.4.4,A,Link Purpose (In Context),"The purpose of each link can be determined from the link text alone, or from the link text together with its programmatically determined link context."
2.4.5,AA,Multiple Ways,More than one way is available to locate a Web page within a set of Web pages.
2.4.6,AA,Headings and Labels,Headings and labels describe topic or purpose.
2.4.7,AA,Focus Visible,Any keyboard operable user interface has a mode of operation where the keyboard focus indicator is visible.
2.4.8,AAA,Location,Information about the user's location within a set of Web pages is available.
2.4.9,AAA,Link Purpose (Link Only),A mechanism is available to allow the purpose of each link to be identified from link text alone.
2.4.10,AAA,Section Headings,Section headings are used to organize the content.
2.4.11,AA,Focus Not Obscured (Minimum),When a user interface component receives keyboard focus the component is not entirely hidden due to author-created content.
2.4.12,AAA,Focus Not Obscured (Enhanced),When a user interface component receives keyboard focus the component is not hidden due to author-created content.
2.4.13,AAA,Focus Appearance,When the keyboard focus indicator is visible the focus indicator meets minimum area and contrast requirements.
2.5.1,A,Pointer Gestures,All functionality that uses multipoint or path-based gestures for operation can be operated with a single pointer without a path-based gesture.
2.5.2,A,Pointer Cancellation,For functionality that can be operated using a single pointer certain conditions must be met to make it easier for users to cancel accidental pointer inputs.
2.5.3,A,Label in Name,"For user interface components with labels that include text or images of text, the name contains the text that is presented visually."
2.5.4,A,Motion Actuation,Functionality that can be operated by device motion or user motion can also be operated by user interface components.
2.5.5,AAA,Target Size,The size of the target for pointer inputs is at least 44 by 44 CSS pixels.
2.5.6,AAA,Concurrent Input Mechanisms,Web content does not restrict use of input modalities available on a platform except where the restriction is essential.
2.5.7,AA,Dragging Movements,All functionality that uses a dragging movement for operation can be achieved by a single pointer without dragging.
2.5.8,AA,Target Size (Minimum),The size of the target for pointer inputs is at least 24 by 24 CSS pixels.
3.1.1,A,Language of Page,The default human language of each Web page can be programmatically determined.
3.1.2,AA,Language of Parts,The human language of each passage or phrase in the content can be programmatically determined.
3.1.3,AAA,Unusual Words,A mechanism is available for identifying specific definitions of words or phrases used in an unusual or restricted way.
3.1.4,AAA,Abbreviations,A mechanism for identifying the expanded form or meaning of abbreviations is available.
3.1.5,AAA,Reading Level,"Where text requires reading ability more advanced than the lower secondary education level after removal of proper names and titles, supplemental content, or a version that does not require reading ability more advanced than the lower secondary education level, is available."
3.1.6,AAA,Pronunciation,A mechanism is available for identifying specific pronunciation of words where meaning of the words in context is ambiguous without knowing the pronunciation.
3.2.1,A,On Focus,If any component receives focus it does not initiate a change of context.
3.2.2,A,On Input,Changing the setting of any user interface component does not automatically cause a change of context.
3.2.3,AA,Consistent Navigation,Navigational mechanisms that are repeated on multiple Web pages within a set of Web pages occur in the same relative order each time they are repeated.
3.2.4,AA,Consistent Identification,Components that have the same functionality within a set of Web pages are identified consistently.
3.2.5,AAA,Change on Request,Changes of context are initiated only by user request or a mechanism is available to turn off such changes.
3.2.6,AA,Consistent Help,If a Web page contains help mechanisms those help mechanisms occur in the same relative order.
3.3.1,A,Error Identification,"If an input error is automatically detected, the item that is in error is identified and the error is described to the user in text."
3.3.2,A,Labels or Instructions,Labels or instructions are provided when content requires user input.
3.3.3,AA,Error Suggestion,"If an input error is automatically detected and suggestions for correction are known, then the suggestion is provided to the user."
3.3.4,AA,Error Prevention (Legal Financial Data),"For Web pages that cause legal commitments or financial transactions for the user to occur, that modify or delete user-controllable data in data storage systems, or that submit user test responses, submissions are reversible, checked, or confirmed."
3.3.5,AAA,Help,Context-sensitive help is available.
3.3.6,AAA,Error Prevention (All),For Web pages that require the user to submit information a mechanism is available to review correct and confirm information before finalizing.
3.3.7,A,Redundant Entry,"Information previously entered by or provided to the user that is required to be entered again in the same process is auto-populated, or available for the user to select."
3.3.8,AA,Accessible Authentication (Minimum),"A cognitive function test is not required for any step in an authentication process unless that step provides an alternative method, or a mechanism to assist the user."
3.3.9,AAA,Accessible Authentication (Enhanced),A cognitive function test is not required for any step in an authentication process.
4.1.1,A,Parsing,"In content implemented using markup languages, elements have complete start and end tags, elements are nested according to their specifications, elements do not contain duplicate attributes, and any IDs are unique."
4.1.2,A,Name Role Value,"For all user interface components, the name and role can be programmatically determined; states, properties, and values that can be set by the user can be programmatically set; and notification of changes to these items is available to user agents, including assistive technologies."
4.1.3,AA,Status Messages,"In content implemented using markup languages, status messages can be programmatically determined through role or properties such that they can be presented to the user by assistive technologies without receiving focus."
